Date,DRC_cases
5/1/2019,20
5/2/2019,14
5/3/2019,12
5/4/2019,11
5/5/2019,27
5/6/2019,26
5/7/2019,17
5/8/2019,18
5/9/2019,9
5/10/2019,11
5/11/2019,9
5/12/2019,11
5/13/2019,14
5/14/2019,11
5/15/2019,21
5/16/2019,10
5/17/2019,14
5/18/2019,12
5/19/2019,11
5/20/2019,18
5/21/2019,8
5/22/2019,11
5/23/2019,5
5/24/2019,15
5/25/2019,11
5/26/2019,12
5/27/2019,5
5/28/2019,6
5/29/2019,9
5/30/2019,5
5/31/2019,7
6/1/2019,8
6/2/2019,9
6/3/2019,14
6/4/2019,15
6/5/2019,14
6/6/2019,15
6/7/2019,14
6/8/2019,13
6/9/2019,10
6/10/2019,23
6/11/2019,12
6/12/2019,9
6/13/2019,17
6/14/2019,5
6/15/2019,13
6/16/2019,9
6/17/2019,7
6/18/2019,5
6/19/2019,10
6/20/2019,12
6/21/2019,6
6/22/2019,12
6/23/2019,14
6/24/2019,12
6/25/2019,5
6/26/2019,22
6/27/2019,11
6/28/2019,12
6/29/2019,7
6/30/2019,10
7/1/2019,9
7/2/2019,23
7/3/2019,7
7/4/2019,9
7/5/2019,10
7/6/2019,7
7/7/2019,14
7/8/2019,12
7/9/2019,10
7/10/2019,12
7/11/2019,10
7/12/2019,15
7/13/2019,12
7/14/2019,19
7/15/2019,15
7/16/2019,10
7/17/2019,10
7/18/2019,11
7/19/2019,13
7/20/2019,15
7/21/2019,13
7/22/2019,17
7/23/2019,10
7/24/2019,12
7/25/2019,6
7/26/2019,10
7/27/2019,9
7/28/2019,12
7/29/2019,8
7/30/2019,10
7/31/2019,9
8/1/2019,12
8/2/2019,9
8/3/2019,8
8/4/2019,12
8/5/2019,8
8/6/2019,5
8/7/2019,13
8/8/2019,9
8/9/2019,6
8/10/2019,18
8/11/2019,11
8/12/2019,7
8/13/2019,11
8/14/2019,5
8/15/2019,7
8/16/2019,9
8/17/2019,12
8/18/2019,9
8/19/2019,6
8/20/2019,14
8/21/2019,8
8/22/2019,7
8/23/2019,10
8/24/2019,7
8/25/2019,12
8/26/2019,8
8/27/2019,15
8/28/2019,4
8/29/2019,3
8/30/2019,5
8/31/2019,6
9/1/2019,6
9/2/2019,7
9/3/2019,10
9/4/2019,2
9/5/2019,4
9/6/2019,8
9/7/2019,8
9/8/2019,4
9/9/2019,4
9/10/2019,8
9/11/2019,5
9/12/2019,6
9/13/2019,4
9/14/2019,5
9/15/2019,13
9/16/2019,3
9/17/2019,3
9/18/2019,4
9/19/2019,6
9/20/2019,2
9/21/2019,
9/22/2019,3
9/23/2019,4
9/24/2019,1
9/25/2019,3
9/26/2019,4
9/27/2019,
9/28/2019,3
9/29/2019,3
9/30/2019,3
10/1/2019,3
10/2/2019,2
10/3/2019,2
10/4/2019,2
10/5/2019,
10/6/2019,1
10/7/2019,1
10/8/2019,6
10/9/2019,3
10/10/2019,2
10/11/2019,2
10/12/2019,3
10/13/2019,2
10/14/2019,4
10/15/2019,3
10/16/2019,2
10/17/2019,1
10/18/2019,4
10/19/2019,6
10/20/2019,3
10/21/2019,1
10/22/2019,4
10/23/2019,
10/24/2019,1
10/25/2019,
10/26/2019,2
10/27/2019,1
10/28/2019,5
10/29/2019,1
10/30/2019,2
10/31/2019,
11/1/2019,1
11/2/2019,5
11/3/2019,4
11/4/2019,2
11/5/2019,
11/6/2019,
11/7/2019,
11/8/2019,2
11/9/2019,1
11/10/2019,
11/11/2019,3
11/12/2019,
11/13/2019,
11/14/2019,1
11/15/2019,1
11/16/2019,
11/17/2019,4
11/18/2019,2
11/19/2019,3
11/20/2019,3
11/21/2019,3
11/22/2019,
11/23/2019,4
11/24/2019,
11/25/2019,
11/26/2019,
11/27/2019,
11/28/2019,
11/29/2019,1
11/30/2019,
12/1/2019,3
12/2/2019,2
12/3/2019,4
12/4/2019,1
12/5/2019,2
12/6/2019,9
12/7/2019,7
12/8/2019,4
12/9/2019,1
12/10/2019,6
12/11/2019,1
12/12/2019,1
12/13/2019,
12/14/2019,1
12/15/2019,1
12/16/2019,3
12/17/2019,2
12/18/2019,5
12/19/2019,1
12/20/2019,1
12/21/2019,
12/22/2019,3
12/23/2019,
12/24/2019,3
12/25/2019,1
12/26/2019,
12/27/2019,2
12/28/2019,2
12/29/2019,4
12/30/2019,3
12/31/2019,2
1/1/2020,2
1/2/2020,1
1/3/2020,
1/4/2020,1
1/5/2020,
1/6/2020,
1/7/2020,
1/8/2020,2
1/9/2020,1
1/10/2020,1
1/11/2020,3
1/12/2020,6
1/13/2020,2
1/14/2020,4
1/15/2020,1
1/16/2020,2
1/17/2020,1
1/18/2020,
1/19/2020,
1/20/2020,
1/21/2020,2
1/22/2020,1
1/23/2020,2
1/24/2020,1
1/25/2020,1
1/26/2020,1
1/27/2020,1
1/28/2020,
1/29/2020,
1/30/2020,1
1/31/2020,
2/1/2020,
2/2/2020,
2/3/2020,
2/4/2020,
2/5/2020,
2/6/2020,1
2/7/2020,
2/8/2020,
2/9/2020,1
2/10/2020,
2/11/2020,
2/12/2020,
2/13/2020,1
2/14/2020,
2/15/2020,
2/16/2020,
2/17/2020,
2/18/2020,
2/19/2020,
2/20/2020,
2/21/2020,
2/22/2020,
2/23/2020,
2/24/2020,
2/25/2020,
2/26/2020,
2/27/2020,
2/28/2020,
2/29/2020,
3/1/2020,
3/2/2020,
3/3/2020,
3/4/2020,
3/5/2020,
3/6/2020,
3/7/2020,
3/8/2020,
3/9/2020,
3/10/2020,
3/11/2020,
3/12/2020,
3/13/2020,
3/14/2020,
3/15/2020,
3/16/2020,
3/17/2020,
3/18/2020,
3/19/2020,
3/20/2020,
3/21/2020,
3/22/2020,
3/23/2020,
3/24/2020,
3/25/2020,
3/26/2020,
3/27/2020,
3/28/2020,1
3/29/2020,
3/30/2020,
3/31/2020,
4/1/2020,
4/2/2020,
4/3/2020,
4/4/2020,2
4/5/2020,
4/6/2020,
4/7/2020,
4/8/2020,
4/9/2020,1
4/10/2020,1
4/11/2020,
4/12/2020,1
4/13/2020,
4/14/2020,
4/15/2020,
4/16/2020,
4/17/2020,
4/18/2020,
4/19/2020,
4/20/2020,
4/21/2020,1
4/22/2020,
4/23/2020,
4/24/2020,
4/25/2020,
4/26/2020,
4/27/2020,
4/28/2020,
4/29/2020,
4/30/2020,
5/1/2020,
5/2/2020,
5/3/2020,
5/4/2020,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
